Key,Type,Desc,English,Korea,Japanese,Chinese (Traditional)
AchieveItem_txtBuySkinType,Text,,Own {[VALUE]} new skins,소유 {[VALUE]} 새로운 스킨,自分の{[VALUE]}新しいスキン,擁有{[VALUE]}新皮膚
AchieveItem_txtClaimDailyRewardType,Text,,Claim daily reward {[VALUE]} times,일일 보상 {[VALUE]} 시간 받기,毎日の報酬{[VALUE]}回を請求する,領取每日獎勵{[VALUE]}次數
AchieveItem_txtCompleteDesertType,Text,,Build All Desert Map,모든 사막 지도 만들기,すべてのデザートのマップを建てしましょう,建立所有沙漠地圖
AchieveItem_txtCompleteEarthType,Text,,Build All Earth Map,모든 지구 지도 작성,すべてのアースのマップを建てしましょう,建立全地球地圖
AchieveItem_txtCompleteIcelandType,Text,,Build All Iceland Map,아이슬란드 전체 지도 만들기,すべてのアイスランドのマップを建てしましょう,建立所有冰島地圖
AchieveItem_txtCompleteInfernoType,Text,,Build All Inferno Map,모든 인페르노 맵 구축,すべてのインフェルノのマップを建てしましょう,構建所有地獄地圖
AchieveItem_txtCompleteJadeType,Text,,Build All Jade Map,모든 비취 지도 만들기,すべての翡翠マップを建てしましょう,打造全玉地圖
AchieveItem_txtCompleteOlympusType,Text,,Build All Olympus Map,모든 올림푸스 지도 만들기,すべてのオリンパスのマップを建てしましょう,構建所有奧林巴斯地圖
AchieveItem_txtJoinGroupFacebookSuccessfullyType,Text,,Join Facebook Successfully,페이스 북에 성공적으로 가입,Facebookに参加するのをできました,成功加入臉書
AchieveItem_txtPlayToLevelType,Text,,Play to level {[VALUE]},레벨 {[VALUE]} 플레이,{[VALUE]}のレベルまでプレイ,玩到級別 {[VALUE]}
AchievePopup_txtCompleted,Text,,Completed {[VALUE]},완료 {[VALUE]},{[VALUE]}できました,完成 {[VALUE]}
AchievePopup_txttitle,Text,,Achievement,성취,実績,成就
App_Name,Text,,Hero Tower War,영웅 타워 전쟁,ヒーロータワーウォー,英雄塔戰爭
BoldenVanBold,TextMeshPFont,,BoldenVanBold,BoldenVanBold,BoldenVanBold,BoldenVanBoldBrown
Castle_txtBuild,Text,,Build,짓다,建てる,建造
Castle_txtTitle,Text,,Castle,성,城,城堡
Castle_txtUpgrade,Text,,Upgrade,업그레이드,アップグレード,升級
Claim,Text,,Claim,주장하다,請求,宣稱
Congrats,Text,,Congrats,축하 해요,おめでとう,恭喜
DailyItem_txtDay,Text,,Day {[VALUE]},하루 {[VALUE]},{[VALUE]}日,日 {[VALUE]}
